year,period,HR_IND
2030,6702,1401.481131
2030,6703,1308.451583
2030,6704,1375.254005
2030,6705,1307.5248
2030,6706,1317.180254
2030,6707,1307.649432
2030,6708,1337.484467
2030,6709,1318.835619
2030,6710,1357.025114
2030,6711,1359.6656
2030,6712,1392.513952
2030,6713,1398.227064
2030,6714,1414.442604
2030,6715,1165.842202
2030,6716,1436.946755
2030,6717,1210.730189
2030,6718,1424.503407
2030,6719,1411.617892
2030,6720,1464.013813
2030,6721,756.4644574
2030,6722,994.8187583
2030,6723,930.8241659
2030,6724,748.0167343
2030,6725,917.7535218
2030,6726,832.5141569
2030,6727,858.3272349
2030,6728,1049.578016
2030,6729,1038.989981
2030,6730,1037.372599
2030,6731,1030.711402
2030,6732,1041.190414
2030,6733,1041.630225
2030,6734,1024.51841
2030,6735,1004.991092
2030,6736,984.2457722
2030,6737,994.1063957
2030,6738,995.112304
2030,6739,762.3911758
2030,6740,993.8822211
2030,6741,760.165912
2030,6742,996.0769619
2030,6743,943.1715345
2030,6744,994.8485823
2030,6745,874.3953476
2030,6746,1107.521399
2030,6747,1102.486748
2030,6748,863.8844551
2030,6749,1015.283666
2030,6750,987.6214119
2030,6751,936.350588
2030,6752,1142.787506
2030,6753,1076.595158
2030,6754,1122.668485
2030,6755,1120.835826
2030,6756,1130.57895
2030,6757,1128.080425
2030,6758,1108.385373
2030,6759,1090.603372
2030,6760,1080.387981
2030,6761,1082.026156
2030,6762,1083.822546
2030,6763,848.5466341
2030,6764,1082.711611
2030,6765,858.5386278
2030,6766,1039.311298
2030,6767,1092.624502
2030,6768,1093.139768
2030,6769,813.4036055
2030,6770,1047.467354
2030,6771,983.4052937
2030,6772,800.8253687
2030,6773,979.8208953
2030,6774,899.4249993
2030,6775,887.3312795
2030,6776,1083.52027
2030,6777,1084.86081
2030,6778,1063.966055
2030,6779,1058.14972
2030,6780,1073.123265
2030,6781,1074.13448
2030,6782,1061.246497
2030,6783,1039.41927
2030,6784,1023.384137
2030,6785,1026.412125
2030,6786,1027.973727
